num,month,day,hour,min,n_px,ce_px,cs_px,n_p,i_uiip,p_uiip,i_f,p_f,i_uiipu,c_pu_p,p_pu,truth
5,1,1,0,0,2.07,247.15,0.00,0.109,196.56,18.50,253.00,32.12,261.93,0.00,51.04,0
6,1,1,0,15,2.10,306.77,0.00,0.110,182.76,18.61,249.93,32.39,259.33,0.00,51.23,0
7,1,1,0,30,2.13,269.94,0.00,0.110,194.23,18.50,251.67,32.19,262.67,0.00,51.03,0
8,1,1,0,45,2.16,307.57,0.00,0.110,171.88,18.65,248.13,32.48,271.47,0.00,51.59,0
9,1,1,1,0,2.19,360.82,0.00,0.109,178.46,18.73,242.07,32.97,313.73,0.00,52.38,0
10,1,1,1,15,2.23,360.49,0.00,0.110,153.45,18.61,242.27,32.97,316.00,0.00,52.31,0
11,1,1,1,30,2.27,361.25,0.00,0.109,160.81,18.66,242.73,32.93,325.67,0.00,52.52,0
12,1,1,1,45,2.31,412.33,0.00,0.110,159.33,18.50,240.40,33.14,350.00,0.00,53.16,0
13,1,1,2,0,2.37,419.17,0.00,0.110,151.02,18.22,237.93,33.32,366.07,0.00,53.36,0
14,1,1,2,15,2.42,432.61,0.00,0.110,140.03,18.18,235.93,33.48,366.27,0.00,53.47,0
15,1,1,2,30,2.47,413.29,0.00,0.110,146.49,18.30,235.73,33.52,364.87,0.00,53.54,0
16,1,1,2,45,2.52,442.81,0.00,0.110,143.20,18.18,233.93,33.69,364.87,0.00,53.61,0
17,1,1,3,0,2.58,435.32,0.00,0.109,136.35,18.29,232.27,33.82,365.87,0.00,53.69,0
18,1,1,3,15,2.63,428.91,0.00,0.109,129.39,18.15,231.47,33.89,365.20,0.00,53.76,0
19,1,1,3,30,2.68,428.93,0.00,0.110,124.68,18.14,231.53,33.86,364.40,0.00,53.69,0
20,1,1,3,45,2.74,431.12,0.00,0.109,130.73,18.04,230.87,33.91,364.20,0.00,53.78,0
21,1,1,4,0,2.79,437.03,0.00,0.109,138.08,18.16,229.53,34.03,360.80,0.00,54.04,0
22,1,1,4,15,2.85,474.36,0.00,0.109,147.58,18.22,258.73,34.15,358.87,0.00,54.10,0
23,1,1,4,30,2.91,463.97,0.00,0.109,131.02,18.24,257.93,34.39,357.20,0.00,54.24,0
24,1,1,4,45,2.97,472.23,0.00,0.110,125.07,18.18,257.67,34.44,356.47,0.00,54.23,0
25,1,1,5,0,3.03,460.56,0.00,0.110,128.30,18.16,256.53,34.48,356.13,0.00,54.29,0
26,1,1,5,15,3.08,455.21,0.00,0.110,123.35,18.18,255.93,34.58,354.87,0.00,54.40,0
27,1,1,5,30,3.14,446.86,0.00,0.109,120.56,18.20,259.93,34.23,356.27,0.00,54.12,0
28,1,1,5,45,3.20,426.83,0.00,0.109,123.60,18.23,254.47,34.47,355.40,0.00,54.28,0
29,1,1,6,0,3.25,414.31,0.00,0.109,135.43,18.63,258.13,34.33,356.27,0.00,54.18,0
30,1,1,6,15,3.31,432.38,0.00,0.107,134.20,19.50,258.53,34.31,355.93,0.00,54.16,0
31,1,1,6,30,3.36,387.31,0.00,0.106,117.87,19.67,260.47,34.18,337.73,18.93,53.84,0
32,1,1,6,45,3.41,255.63,0.00,0.106,120.14,19.58,267.73,33.54,214.33,26.67,52.07,0
33,1,1,7,0,3.44,209.45,0.00,0.109,138.55,19.50,271.53,33.24,194.73,25.24,51.73,0
34,1,1,7,15,3.46,168.49,0.00,0.109,124.55,19.76,271.80,33.18,186.80,26.04,51.49,0
35,1,1,7,30,3.48,120.46,0.00,0.110,141.79,19.46,271.93,33.20,165.93,24.87,51.54,0
36,1,1,7,45,3.49,37.81,1.55,0.109,174.91,20.62,271.20,33.20,117.13,25.14,51.43,0
37,1,1,8,0,3.49,0.77,21.71,0.108,180.40,20.57,261.20,33.12,114.60,25.95,51.17,0
38,1,1,8,15,3.48,0.00,135.16,0.110,193.92,20.64,225.33,32.52,95.27,25.07,50.59,0
39,1,1,8,30,3.45,0.00,177.52,0.109,211.47,20.47,228.07,32.35,93.73,27.04,50.58,0
40,1,1,8,45,3.42,0.00,200.43,0.107,208.69,20.65,230.47,32.15,96.33,25.29,50.44,0
41,1,1,9,0,3.38,0.00,241.42,0.109,226.56,19.84,234.33,31.94,97.73,26.09,50.21,0
42,1,1,9,15,3.34,0.00,308.64,0.109,237.04,20.43,237.13,31.72,104.67,25.07,49.62,0
43,1,1,9,30,3.30,0.00,304.39,0.108,238.06,20.65,239.53,31.57,101.47,26.73,49.78,0
44,1,1,9,45,3.25,0.00,338.83,0.109,265.38,20.67,242.47,31.33,104.87,24.37,49.36,0
45,1,1,10,0,3.19,0.00,442.41,0.110,246.45,20.71,257.13,30.24,3.53,26.11,48.04,0
46,1,1,10,15,3.12,0.00,439.09,0.109,254.33,20.71,255.07,30.33,3.47,25.13,48.07,0
47,1,1,10,30,3.06,0.00,440.73,0.110,254.88,20.69,259.40,30.04,3.13,26.58,47.77,0
48,1,1,10,45,2.99,0.00,375.71,0.109,271.95,20.70,256.80,30.21,3.20,24.65,47.87,0
49,1,1,11,0,2.92,0.00,355.27,0.106,263.69,20.71,256.20,30.29,3.40,25.62,48.02,0
50,1,1,11,15,2.86,0.00,384.41,0.107,259.91,20.72,253.93,30.39,3.47,25.15,48.35,0
51,1,1,11,30,2.79,0.00,383.16,0.109,241.56,20.65,255.07,30.34,3.60,25.48,48.10,0
52,1,1,11,45,2.73,0.00,377.60,0.107,250.38,20.67,254.27,30.39,3.53,26.15,48.24,0
53,1,1,12,0,2.67,0.00,368.19,0.109,257.00,20.67,253.20,30.49,3.27,26.24,48.20,0
54,1,1,12,15,2.61,0.00,330.87,0.109,267.64,20.80,249.80,30.71,3.40,25.92,48.35,0
55,1,1,12,30,2.55,0.00,315.00,0.110,230.01,20.65,246.53,30.92,3.40,25.10,48.74,0
56,1,1,12,45,2.50,0.00,328.31,0.109,226.61,20.76,253.27,30.44,3.40,25.05,48.10,0
57,1,1,13,0,2.45,0.00,304.82,0.108,222.46,20.69,247.20,30.92,3.33,25.61,48.82,0
58,1,1,13,15,2.40,0.00,275.11,0.109,220.44,20.70,250.47,30.67,3.67,25.19,48.68,0
59,1,1,13,30,2.35,0.00,186.53,0.106,219.92,20.70,243.13,31.22,81.27,25.82,49.16,0
60,1,1,13,45,2.31,0.00,160.77,0.107,228.33,20.77,241.80,31.33,111.33,25.70,49.41,0
61,1,1,14,0,2.28,0.00,157.61,0.108,210.70,20.49,241.47,31.35,109.80,25.43,49.33,0
62,1,1,14,15,2.26,0.00,153.89,0.107,223.90,20.77,239.40,31.53,108.80,24.77,49.63,0
63,1,1,14,30,2.23,0.00,135.85,0.107,223.54,20.54,239.27,31.53,106.07,24.61,49.73,0
64,1,1,14,45,2.20,0.00,122.93,0.110,208.89,20.74,236.20,31.75,105.40,25.45,49.84,0
